transaction_id,account_id,amount,transaction_type,transaction_date,currency
64,1166,1246.16,credit,2024-01-03 07:11:36.669666,USD
65,1273,250.29,credit,2024-01-03 08:04:10.585058,EUR
66,1387,1954.16,credit,2024-01-03 08:56:44.500450,USD
67,1600,381.99,credit,2024-01-03 09:49:18.415841,GBP
68,1315,896.1,credit,2024-01-03 10:41:52.331233,EUR
69,1013,981.35,credit,2024-01-03 11:34:26.246624,GBP
70,1241,1627.99,credit,2024-01-03 12:27:00.162016,USD
71,1776,207.47,debit,2024-01-03 13:19:34.077407,USD
72,1345,863.0,debit,2024-01-03 14:12:07.992799,USD
73,1564,1260.72,credit,2024-01-03 15:04:41.908190,USD
74,1897,438.16,credit,2024-01-03 15:57:15.823582,USD
75,1339,1258.66,credit,2024-01-03 16:49:49.738973,USD
76,1091,1848.09,credit,2024-01-03 17:42:23.654365,USD
77,1366,1995.06,debit,2024-01-03 18:34:57.569756,GBP
78,1955,74.58,debit,2024-01-03 19:27:31.485148,USD
79,1454,,debit,2024-01-03 20:20:05.400540,GBP
80,1427,627.51,credit,2024-01-03 21:12:39.315931,USD
81,1508,804.26,credit,2024-01-03 22:05:13.231323,USD
82,1775,492.09,debit,2024-01-03 22:57:47.146714,USD
83,1942,414.94,credit,2024-01-03 23:50:21.062106,EUR
84,1034,1909.56,credit,2024-01-04 00:42:54.977497,EUR
85,1205,1837.86,credit,2024-01-04 01:35:28.892889,EUR
86,1080,103.52,credit,2024-01-04 02:28:02.808280,USD
87,1931,684.24,credit,2024-01-04 03:20:36.723672,USD
88,1561,816.25,credit,2024-01-04 04:13:10.639063,USD
89,1871,485.64,debit,2024-01-04 05:05:44.554455,USD
90,1387,1261.46,debit,2024-01-04 05:58:18.469846,GBP
91,1001,1284.36,credit,2024-01-04 06:50:52.385238,GBP
92,1389,1702.5,credit,2024-01-04 07:43:26.300630,USD
93,1565,1484.33,credit,2024-01-04 08:36:00.216021,EUR
94,1105,1089.72,debit,2024-01-04 09:28:34.131413,USD
95,1771,1310.64,credit,2024-01-04 10:21:08.046804,USD
96,1821,555.24,debit,2024-01-04 11:13:41.962196,USD
97,1476,1190.18,credit,2024-01-04 12:06:15.877587,USD
98,1702,983.56,debit,2024-01-04 12:58:49.792979,USD
99,1401,275.36,credit,2024-01-04 13:51:23.708370,USD
100,1729,492.66,credit,2024-01-04 14:43:57.623762,GBP
101,1555,590.47,credit,2024-01-04 15:36:31.539153,USD
102,1161,1849.38,credit,2024-01-04 16:29:05.454545,USD
103,1201,468.47,debit,2024-01-04 17:21:39.369936,USD
104,1957,585.6,debit,2024-01-04 18:14:13.285328,EUR
105,1995,745.01,credit,2024-01-04 19:06:47.200720,USD
106,1269,1330.85,debit,2024-01-04 19:59:21.116111,EUR
107,1862,245.29,credit,2024-01-04 20:51:55.031503,USD
108,1815,1908.35,debit,2024-01-04 21:44:28.946894,USD
109,1270,1732.49,credit,2024-01-04 22:37:02.862286,USD
110,1455,1158.66,debit,2024-01-04 23:29:36.777677,USD
111,1461,1351.34,credit,2024-01-05 00:22:10.693069,USD
112,1726,43.15,credit,2024-01-05 01:14:44.608460,USD
113,1251,684.5,credit,2024-01-05 02:07:18.523852,USD
114,1701,1593.36,credit,2024-01-05 02:59:52.439243,USD
115,1295,164.19,credit,2024-01-05 03:52:26.354635,USD
116,1724,571.8,credit,2024-01-05 04:45:00.270027,EUR
117,1719,,debit,2024-01-05 05:37:34.185418,EUR
118,1748,520.26,debit,2024-01-05 06:30:08.100810,EUR
119,1337,1868.62,debit,2024-01-05 07:22:42.016201,USD
120,1878,270.81,debit,2024-01-05 08:15:15.931593,USD
121,1052,1596.81,debit,2024-01-05 09:07:49.846984,EUR
122,1791,1020.82,debit,2024-01-05 10:00:23.762376,USD
123,1921,1503.16,debit,2024-01-05 10:52:57.677767,EUR
124,1216,628.32,credit,2024-01-05 11:45:31.593159,EUR
125,1763,1033.83,debit,2024-01-05 12:38:05.508550,USD
126,1187,1715.1,debit,2024-01-05 13:30:39.423942,USD
127,1379,939.09,debit,2024-01-05 14:23:13.339333,GBP
128,1492,,credit,2024-01-05 15:15:47.254725,EUR
129,1040,,credit,2024-01-05 16:08:21.170117,EUR
130,1156,1437.55,debit,2024-01-05 17:00:55.085508,USD
131,1014,892.69,debit,2024-01-05 17:53:29.000900,USD
132,1812,1878.37,credit,2024-01-05 18:46:02.916291,USD
133,1064,596.94,credit,2024-01-05 19:38:36.831683,USD
134,1856,956.17,credit,2024-01-05 20:31:10.747074,USD
135,1838,1516.29,credit,2024-01-05 21:23:44.662466,EUR
136,1520,1381.35,credit,2024-01-05 22:16:18.577857,USD
137,1343,1728.65,debit,2024-01-05 23:08:52.493249,USD
138,1128,1993.65,debit,2024-01-06 00:01:26.408640,USD
139,1647,859.45,debit,2024-01-06 00:54:00.324032,USD
140,1471,231.19,credit,2024-01-06 01:46:34.239423,GBP
141,1062,70.53,debit,2024-01-06 02:39:08.154815,EUR
142,1138,1456.49,credit,2024-01-06 03:31:42.070207,USD
143,1498,1749.29,credit,2024-01-06 04:24:15.985598,USD
144,1592,449.22,credit,2024-01-06 05:16:49.900990,USD
145,1391,325.31,debit,2024-01-06 06:09:23.816381,USD
146,1674,133.79,debit,2024-01-06 07:01:57.731773,USD
147,1418,1647.18,debit,2024-01-06 07:54:31.647164,USD
148,1288,629.65,credit,2024-01-06 08:47:05.562556,EUR
149,1378,809.38,credit,2024-01-06 09:39:39.477947,USD
150,1772,1010.47,credit,2024-01-06 10:32:13.393339,USD
151,1489,1680.51,debit,2024-01-06 11:24:47.308730,USD
152,1230,1305.16,debit,2024-01-06 12:17:21.224122,GBP
153,1040,1233.98,credit,2024-01-06 13:09:55.139513,GBP
154,1027,359.59,credit,2024-01-06 14:02:29.054905,EUR
155,1134,1031.25,debit,2024-01-06 14:55:02.970297,USD
156,1200,1433.61,debit,2024-01-06 15:47:36.885688,USD
157,1839,1946.79,credit,2024-01-06 16:40:10.801080,EUR
158,1779,410.8,debit,2024-01-06 17:32:44.716471,EUR
159,1929,28.99,debit,2024-01-06 18:25:18.631863,USD
160,1032,159.85,credit,2024-01-06 19:17:52.547254,USD
161,1047,757.95,credit,2024-01-06 20:10:26.462646,USD
162,1502,1642.88,credit,2024-01-06 21:03:00.378037,EUR
163,1406,24.21,credit,2024-01-06 21:55:34.293429,USD
164,1573,918.89,debit,2024-01-06 22:48:08.208820,USD
165,1727,665.17,credit,2024-01-06 23:40:42.124212,GBP
166,1804,114.44,credit,2024-01-07 00:33:16.039603,EUR
167,1098,905.97,credit,2024-01-07 01:25:49.954995,USD
168,1683,516.95,credit,2024-01-07 02:18:23.870387,USD
169,1871,710.25,debit,2024-01-07 03:10:57.785778,USD
170,1725,1414.17,credit,2024-01-07 04:03:31.701170,USD
171,1986,1047.89,credit,2024-01-07 04:56:05.616561,USD
172,1546,258.05,debit,2024-01-07 05:48:39.531953,USD
173,1960,1923.21,credit,2024-01-07 06:41:13.447344,USD
174,1738,1275.46,debit,2024-01-07 07:33:47.362736,USD
175,1612,1534.08,credit,2024-01-07 08:26:21.278127,GBP
176,1942,167.63,debit,2024-01-07 09:18:55.193519,EUR
177,1461,103.65,debit,2024-01-07 10:11:29.108910,USD
178,1642,48.7,credit,2024-01-07 11:04:03.024302,GBP
179,1768,385.7,debit,2024-01-07 11:56:36.939693,USD
180,1004,834.67,credit,2024-01-07 12:49:10.855085,EUR
181,1217,1872.29,debit,2024-01-07 13:41:44.770477,USD
182,1502,919.55,credit,2024-01-07 14:34:18.685868,EUR
183,1766,587.61,debit,2024-01-07 15:26:52.601260,USD
184,1397,1128.25,credit,2024-01-07 16:19:26.516651,USD
185,1870,232.75,debit,2024-01-07 17:12:00.432043,EUR
186,1794,1222.92,debit,2024-01-07 18:04:34.347434,USD
187,1392,1141.18,debit,2024-01-07 18:57:08.262826,USD
188,1206,1586.07,credit,2024-01-07 19:49:42.178217,USD
189,1014,1973.51,credit,2024-01-07 20:42:16.093609,USD
190,1857,509.24,credit,2024-01-07 21:34:50.009000,USD
191,1553,1024.22,credit,2024-01-07 22:27:23.924392,USD
192,1891,1818.64,credit,2024-01-07 23:19:57.839783,USD
193,1460,1572.53,credit,2024-01-08 00:12:31.755175,USD
194,1690,979.94,credit,2024-01-08 01:05:05.670567,GBP
195,1574,1891.29,credit,2024-01-08 01:57:39.585958,USD
196,1863,123.9,credit,2024-01-08 02:50:13.501350,USD
197,1742,1862.69,credit,2024-01-08 03:42:47.416741,USD
198,1240,110.51,credit,2024-01-08 04:35:21.332133,EUR
199,1563,1099.14,debit,2024-01-08 05:27:55.247524,EUR
200,1095,1781.98,credit,2024-01-08 06:20:29.162916,USD
201,1899,532.81,credit,2024-01-08 07:13:03.078307,GBP
202,1733,949.77,credit,2024-01-08 08:05:36.993699,EUR
203,1484,655.41,credit,2024-01-08 08:58:10.909090,EUR
204,1406,1904.77,debit,2024-01-08 09:50:44.824482,USD
205,1230,1649.05,credit,2024-01-08 10:43:18.739873,USD
206,1748,1420.91,credit,2024-01-08 11:35:52.655265,USD
207,1654,1179.38,debit,2024-01-08 12:28:26.570657,USD
208,1170,1642.98,debit,2024-01-08 13:21:00.486048,USD
209,1540,790.61,credit,2024-01-08 14:13:34.401440,USD
210,1035,900.63,credit,2024-01-08 15:06:08.316831,EUR
211,1524,1462.7,credit,2024-01-08 15:58:42.232223,USD
212,1159,721.93,credit,2024-01-08 16:51:16.147614,USD
213,1838,137.16,credit,2024-01-08 17:43:50.063006,GBP
214,1698,157.93,debit,2024-01-08 18:36:23.978397,USD
215,1242,239.57,credit,2024-01-08 19:28:57.893789,USD
216,1085,1740.67,debit,2024-01-08 20:21:31.809180,USD
217,1795,949.73,credit,2024-01-08 21:14:05.724572,GBP
218,1577,1428.64,credit,2024-01-08 22:06:39.639963,EUR
219,1681,791.89,debit,2024-01-08 22:59:13.555355,USD
220,1556,524.83,credit,2024-01-08 23:51:47.470747,GBP
221,1573,700.91,credit,2024-01-09 00:44:21.386138,USD
222,1952,1590.42,credit,2024-01-09 01:36:55.301530,USD
223,1645,1254.18,credit,2024-01-09 02:29:29.216921,USD
224,1795,1875.9,credit,2024-01-09 03:22:03.132313,USD
225,1027,1362.61,credit,2024-01-09 04:14:37.047704,USD
226,1619,1144.66,credit,2024-01-09 05:07:10.963096,USD
227,1555,1224.29,credit,2024-01-09 05:59:44.878487,USD
228,1339,1885.32,debit,2024-01-09 06:52:18.793879,USD
229,1797,1578.52,credit,2024-01-09 07:44:52.709270,USD
230,1957,57.84,credit,2024-01-09 08:37:26.624662,EUR
231,1330,1072.94,debit,2024-01-09 09:30:00.540054,USD
232,1639,1379.79,debit,2024-01-09 10:22:34.455445,USD
233,1505,1499.91,credit,2024-01-09 11:15:08.370837,USD
234,1347,434.15,credit,2024-01-09 12:07:42.286228,GBP
235,1472,1735.68,debit,2024-01-09 13:00:16.201620,USD
236,1230,1912.13,credit,2024-01-09 13:52:50.117011,USD
237,1189,481.06,debit,2024-01-09 14:45:24.032403,USD
238,1224,1766.4,debit,2024-01-09 15:37:57.947794,USD
239,1384,202.99,credit,2024-01-09 16:30:31.863186,USD
240,1376,120.86,credit,2024-01-09 17:23:05.778577,USD
241,1282,267.16,debit,2024-01-09 18:15:39.693969,EUR
242,1957,,credit,2024-01-09 19:08:13.609360,USD
243,1632,1691.57,credit,2024-01-09 20:00:47.524752,EUR
244,1627,127.51,credit,2024-01-09 20:53:21.440144,USD
245,1972,550.61,debit,2024-01-09 21:45:55.355535,USD
246,1744,216.48,credit,2024-01-09 22:38:29.270927,USD
247,1258,597.89,debit,2024-01-09 23:31:03.186318,USD
248,1358,190.21,debit,2024-01-10 00:23:37.101710,USD
249,1709,1339.33,credit,2024-01-10 01:16:11.017101,EUR
250,1455,275.32,debit,2024-01-10 02:08:44.932493,EUR
251,1410,1705.17,credit,2024-01-10 03:01:18.847884,EUR
252,1648,1636.21,debit,2024-01-10 03:53:52.763276,USD
253,1317,37.19,credit,2024-01-10 04:46:26.678667,USD
254,1676,1792.5,credit,2024-01-10 05:39:00.594059,EUR
255,1224,67.6,debit,2024-01-10 06:31:34.509450,USD
256,1818,486.9,credit,2024-01-10 07:24:08.424842,EUR
257,1233,74.45,debit,2024-01-10 08:16:42.340234,EUR
258,1683,678.33,debit,2024-01-10 09:09:16.255625,EUR
259,1663,1032.59,credit,2024-01-10 10:01:50.171017,USD
260,1974,1595.32,credit,2024-01-10 10:54:24.086408,GBP
261,1826,682.58,debit,2024-01-10 11:46:58.001800,USD
262,1373,1413.93,credit,2024-01-10 12:39:31.917191,USD
263,1671,383.13,debit,2024-01-10 13:32:05.832583,USD
264,1607,1503.69,debit,2024-01-10 14:24:39.747974,USD
265,1471,479.63,debit,2024-01-10 15:17:13.663366,USD
266,1232,295.65,debit,2024-01-10 16:09:47.578757,EUR
267,1691,378.96,credit,2024-01-10 17:02:21.494149,USD
268,1112,372.31,debit,2024-01-10 17:54:55.409540,USD
269,1829,1030.6,debit,2024-01-10 18:47:29.324932,USD
270,1496,1691.15,debit,2024-01-10 19:40:03.240324,USD
271,1441,168.41,credit,2024-01-10 20:32:37.155715,USD
272,1563,1416.84,credit,2024-01-10 21:25:11.071107,GBP
273,1267,1312.15,debit,2024-01-10 22:17:44.986498,USD
274,1509,1746.31,credit,2024-01-10 23:10:18.901890,EUR
275,1806,495.85,credit,2024-01-11 00:02:52.817281,EUR
276,1385,905.72,credit,2024-01-11 00:55:26.732673,USD
277,1386,1852.4,credit,2024-01-11 01:48:00.648064,USD
278,1112,1323.39,credit,2024-01-11 02:40:34.563456,USD
279,1612,783.65,credit,2024-01-11 03:33:08.478847,GBP
280,1624,271.51,credit,2024-01-11 04:25:42.394239,USD
281,1951,532.35,debit,2024-01-11 05:18:16.309630,USD
282,1080,1166.62,credit,2024-01-11 06:10:50.225022,GBP
283,1698,1439.15,credit,2024-01-11 07:03:24.140414,EUR
284,1112,257.6,credit,2024-01-11 07:55:58.055805,USD
285,1001,1203.2,credit,2024-01-11 08:48:31.971197,GBP
286,1641,1105.2,debit,2024-01-11 09:41:05.886588,USD
287,1219,1032.77,debit,2024-01-11 10:33:39.801980,EUR
288,1565,1383.35,credit,2024-01-11 11:26:13.717371,USD
289,1854,1676.52,credit,2024-01-11 12:18:47.632763,USD
290,1996,652.75,debit,2024-01-11 13:11:21.548154,USD
291,1735,1779.13,credit,2024-01-11 14:03:55.463546,USD
292,1224,329.66,credit,2024-01-11 14:56:29.378937,USD
293,1384,354.32,credit,2024-01-11 15:49:03.294329,USD
294,1402,540.88,credit,2024-01-11 16:41:37.209720,USD
295,1637,247.87,credit,2024-01-11 17:34:11.125112,USD
296,1129,468.34,credit,2024-01-11 18:26:45.040504,EUR
297,1052,221.76,credit,2024-01-11 19:19:18.955895,USD
298,1683,1645.29,credit,2024-01-11 20:11:52.871287,USD
299,1729,286.55,credit,2024-01-11 21:04:26.786678,EUR
300,1671,1497.12,credit,2024-01-11 21:57:00.702070,USD
301,1709,105.35,credit,2024-01-11 22:49:34.617461,GBP
302,1415,1897.56,credit,2024-01-11 23:42:08.532853,EUR
303,1246,1425.21,credit,2024-01-12 00:34:42.448244,USD
304,1835,23.53,debit,2024-01-12 01:27:16.363636,GBP
305,1438,1530.07,debit,2024-01-12 02:19:50.279027,USD
306,1202,1033.02,credit,2024-01-12 03:12:24.194419,USD
307,1183,1560.94,credit,2024-01-12 04:04:58.109810,USD
308,1122,1049.77,debit,2024-01-12 04:57:32.025202,USD
309,1400,1285.64,credit,2024-01-12 05:50:05.940594,USD
310,1766,1574.8,credit,2024-01-12 06:42:39.855985,EUR
311,1293,816.17,debit,2024-01-12 07:35:13.771377,USD
312,1279,15.39,debit,2024-01-12 08:27:47.686768,GBP
313,1836,1701.39,credit,2024-01-12 09:20:21.602160,EUR
314,1883,767.97,credit,2024-01-12 10:12:55.517551,EUR
315,1609,997.13,debit,2024-01-12 11:05:29.432943,USD
316,1197,25.46,credit,2024-01-12 11:58:03.348334,USD
317,1981,989.26,debit,2024-01-12 12:50:37.263726,EUR
318,1906,1973.11,credit,2024-01-12 13:43:11.179117,EUR
319,1510,563.75,credit,2024-01-12 14:35:45.094509,GBP
320,1751,796.88,credit,2024-01-12 15:28:19.009900,GBP
321,1143,1377.51,debit,2024-01-12 16:20:52.925292,USD
322,1608,1631.44,debit,2024-01-12 17:13:26.840684,EUR
323,1200,840.61,credit,2024-01-12 18:06:00.756075,USD
324,1123,626.24,debit,2024-01-12 18:58:34.671467,USD
325,1186,1876.27,credit,2024-01-12 19:51:08.586858,USD
326,1325,1357.52,debit,2024-01-12 20:43:42.502250,EUR
327,1463,246.85,debit,2024-01-12 21:36:16.417641,GBP
328,1348,147.17,credit,2024-01-12 22:28:50.333033,USD
329,1770,972.26,credit,2024-01-12 23:21:24.248424,USD
330,1659,447.98,debit,2024-01-13 00:13:58.163816,GBP
331,1763,515.43,debit,2024-01-13 01:06:32.079207,USD
332,1954,1756.61,credit,2024-01-13 01:59:05.994599,USD
333,1931,188.24,credit,2024-01-13 02:51:39.909990,USD
334,1402,1433.57,debit,2024-01-13 03:44:13.825382,USD
335,1345,549.57,credit,2024-01-13 04:36:47.740774,GBP
336,1962,1523.05,credit,2024-01-13 05:29:21.656165,USD
337,1510,1447.6,credit,2024-01-13 06:21:55.571557,USD
338,1146,24.71,debit,2024-01-13 07:14:29.486948,USD
339,1147,1023.18,credit,2024-01-13 08:07:03.402340,USD
340,1863,287.25,credit,2024-01-13 08:59:37.317731,USD
341,1710,1733.79,credit,2024-01-13 09:52:11.233123,GBP
342,1819,1744.46,debit,2024-01-13 10:44:45.148514,EUR
343,1488,842.51,debit,2024-01-13 11:37:19.063906,GBP
344,1928,894.35,debit,2024-01-13 12:29:52.979297,GBP
345,1935,613.53,credit,2024-01-13 13:22:26.894689,USD
346,1639,1436.05,debit,2024-01-13 14:15:00.810081,USD
347,1550,723.74,debit,2024-01-13 15:07:34.725472,USD
348,1337,542.91,debit,2024-01-13 16:00:08.640864,USD
349,1871,870.14,debit,2024-01-13 16:52:42.556255,USD
350,1640,192.06,credit,2024-01-13 17:45:16.471647,USD
351,1778,1495.74,debit,2024-01-13 18:37:50.387038,USD
352,1987,35.07,debit,2024-01-13 19:30:24.302430,USD
353,1952,1292.53,debit,2024-01-13 20:22:58.217821,USD
354,1472,373.9,credit,2024-01-13 21:15:32.133213,USD
355,1945,472.48,credit,2024-01-13 22:08:06.048604,USD
356,1150,1274.91,debit,2024-01-13 23:00:39.963996,USD
357,1414,1985.96,credit,2024-01-13 23:53:13.879387,USD
358,1989,1557.66,credit,2024-01-14 00:45:47.794779,USD
359,1297,459.42,debit,2024-01-14 01:38:21.710171,EUR
360,1610,360.29,credit,2024-01-14 02:30:55.625562,USD
361,1262,1733.8,credit,2024-01-14 03:23:29.540954,USD
362,1763,893.93,debit,2024-01-14 04:16:03.456345,USD
363,1143,282.74,credit,2024-01-14 05:08:37.371737,USD
364,1345,1725.8,credit,2024-01-14 06:01:11.287128,USD
365,1623,1634.02,credit,2024-01-14 06:53:45.202520,USD
366,1571,1967.97,credit,2024-01-14 07:46:19.117911,USD
367,1880,1820.39,credit,2024-01-14 08:38:53.033303,USD
368,1001,1705.06,credit,2024-01-14 09:31:26.948694,USD
369,1896,114.62,credit,2024-01-14 10:24:00.864086,USD
370,1303,217.79,credit,2024-01-14 11:16:34.779477,USD
371,1253,1142.28,credit,2024-01-14 12:09:08.694869,EUR
372,1651,1067.64,debit,2024-01-14 13:01:42.610261,USD
373,1452,921.35,credit,2024-01-14 13:54:16.525652,USD
374,1036,799.61,debit,2024-01-14 14:46:50.441044,USD
375,1159,868.11,credit,2024-01-14 15:39:24.356435,USD
376,1008,1142.9,debit,2024-01-14 16:31:58.271827,USD
377,1232,14.13,debit,2024-01-14 17:24:32.187218,USD
378,1098,528.81,credit,2024-01-14 18:17:06.102610,USD
379,1658,1041.38,credit,2024-01-14 19:09:40.018001,USD
380,1815,1447.21,credit,2024-01-14 20:02:13.933393,USD
381,1207,356.57,debit,2024-01-14 20:54:47.848784,USD
382,1130,1098.29,credit,2024-01-14 21:47:21.764176,USD
383,1403,1431.77,debit,2024-01-14 22:39:55.679567,USD
384,1151,894.81,credit,2024-01-14 23:32:29.594959,USD
385,1053,63.89,credit,2024-01-15 00:25:03.510351,USD
386,1119,904.04,credit,2024-01-15 01:17:37.425742,USD
387,1672,599.93,debit,2024-01-15 02:10:11.341134,USD
388,1919,1860.0,credit,2024-01-15 03:02:45.256525,EUR
389,1627,257.98,debit,2024-01-15 03:55:19.171917,USD
390,1586,1308.43,credit,2024-01-15 04:47:53.087308,EUR
391,1624,,credit,2024-01-15 05:40:27.002700,USD
392,1967,897.88,debit,2024-01-15 06:33:00.918091,USD
393,1419,1112.42,debit,2024-01-15 07:25:34.833483,USD
394,1421,602.93,credit,2024-01-15 08:18:08.748874,GBP
395,1103,915.6,credit,2024-01-15 09:10:42.664266,EUR
396,1851,335.47,debit,2024-01-15 10:03:16.579657,USD
397,1253,615.21,credit,2024-01-15 10:55:50.495049,USD
398,1226,1246.0,debit,2024-01-15 11:48:24.410441,USD
399,1111,610.58,credit,2024-01-15 12:40:58.325832,GBP
400,1509,1800.49,credit,2024-01-15 13:33:32.241224,USD
401,1472,1260.53,debit,2024-01-15 14:26:06.156615,USD
402,1098,882.91,credit,2024-01-15 15:18:40.072007,USD
403,1152,87.13,debit,2024-01-15 16:11:13.987398,USD
404,1860,1004.1,debit,2024-01-15 17:03:47.902790,USD
405,1913,1531.9,debit,2024-01-15 17:56:21.818181,USD
406,1895,538.46,credit,2024-01-15 18:48:55.733573,USD
407,1877,1615.48,debit,2024-01-15 19:41:29.648964,USD
408,1337,511.1,debit,2024-01-15 20:34:03.564356,USD
409,1705,1649.26,credit,2024-01-15 21:26:37.479747,USD
410,1821,179.68,credit,2024-01-15 22:19:11.395139,USD
411,1162,1733.71,credit,2024-01-15 23:11:45.310531,EUR
412,1719,1003.38,debit,2024-01-16 00:04:19.225922,USD
413,1956,600.11,debit,2024-01-16 00:56:53.141314,USD
414,1680,537.58,debit,2024-01-16 01:49:27.056705,EUR
415,1995,,debit,2024-01-16 02:42:00.972097,EUR
416,1160,1998.11,credit,2024-01-16 03:34:34.887488,EUR
417,1579,448.45,credit,2024-01-16 04:27:08.802880,USD
418,1800,215.4,credit,2024-01-16 05:19:42.718271,USD
419,1397,1174.22,credit,2024-01-16 06:12:16.633663,USD
420,1276,982.2,credit,2024-01-16 07:04:50.549054,USD
421,1815,1053.15,debit,2024-01-16 07:57:24.464446,USD
422,1915,1337.2,debit,2024-01-16 08:49:58.379837,USD
423,1503,541.62,credit,2024-01-16 09:42:32.295229,USD
424,1895,1822.22,debit,2024-01-16 10:35:06.210621,USD
425,1391,876.99,credit,2024-01-16 11:27:40.126012,USD
426,1134,266.88,credit,2024-01-16 12:20:14.041404,USD
427,1194,1487.17,debit,2024-01-16 13:12:47.956795,USD
428,1400,1289.78,credit,2024-01-16 14:05:21.872187,USD
429,1639,638.33,debit,2024-01-16 14:57:55.787578,USD
430,1032,1246.82,debit,2024-01-16 15:50:29.702970,EUR
431,1687,447.53,debit,2024-01-16 16:43:03.618361,USD
432,1459,,credit,2024-01-16 17:35:37.533753,EUR
433,1954,1799.83,credit,2024-01-16 18:28:11.449144,USD
434,1882,275.73,credit,2024-01-16 19:20:45.364536,USD
435,1469,779.53,debit,2024-01-16 20:13:19.279927,USD
436,1374,1644.07,debit,2024-01-16 21:05:53.195319,USD
437,1021,1939.29,credit,2024-01-16 21:58:27.110711,USD
438,1749,913.31,debit,2024-01-16 22:51:01.026102,USD
439,1669,1018.93,credit,2024-01-16 23:43:34.941494,USD
440,1037,1148.62,credit,2024-01-17 00:36:08.856885,USD
